county,opioid_prescp_per_1000_pop,avg_days_per_opioid_prescp,pct_patient_days_with_overlapping_opioid_prescp,pct_patient_days_with_overlapping_opioid_and_benzo_prescp
Appling,1353.4,20.7,19.5,20.3
Atkinson,1646.4,22.4,15.1,25
Bacon,1836.8,23.2,16.4,30.5
Baker,845,17.8,15.9,11
Baldwin,804.3,19,13,11.3
Banks,1003.4,19.9,17,14.9
Barrow,1070.3,18.7,20.2,15.2
Bartow,1158.5,19.5,19.5,17.4
BenHill,1530.7,20.5,17.5,17.3
Berrien,1431.5,20.9,21.2,18.5
Bibb,1010.1,19.3,14.3,14.8
Bleckley,1142.5,18.6,17.5,16
Brantley,1251.5,21.4,18.6,20.9
Brooks,1103.9,21.5,16.2,15.1
Bryan,1031.9,18.8,19.8,15.6
Bulloch,695.2,17.5,16.9,13.2
Burke,914.2,18.2,13,13.2
Butts,1260.7,19.9,16.4,19.4
Calhoun,634.7,17.8,12.8,8.4
Camden,761.7,19,17.3,14.6
Candler,1440.8,17.6,16.1,16.3
Carroll,1203,19.4,20.8,17.4
Catoosa,566,19.4,13.5,14.4
Charlton,875.3,22.7,17.8,21.4
Chatham,737.4,16.4,17.7,11.9
Chattahoochee,310.1,21.2,21.6,14.9
Chattooga,1497.5,20.9,13.1,15.5
Cherokee,721.6,17.2,21.9,12.7
Clarke,702.8,18.1,17.9,9.5
Clay,716.1,19.9,12.6,9.7
Clayton,544.8,15.7,15.4,11.4
Clinch,1849.4,22.1,15.8,21.4
Cobb,581.1,16.1,19.4,11.2
Coffee,1544.9,22,18.6,26.9
Colquitt,936.7,18.9,15.9,13.2
Columbia,577.8,17.2,16.8,12.1
Cook,1308.9,19.7,20,13.7
Coweta,773.7,17.4,20.2,13.5
Crawford,926.1,20.5,15,14.8
Crisp,1205,21,13.3,15.6
Dade,477.1,19.9,13.5,11.9
Dawson,1127.1,18.6,19.5,14.8
Decatur,1050.2,17.4,14,15.1
DeKalb,436.4,15.1,16.3,8.1
Dodge,1269.9,21.1,21.3,21.8
Dooly,879,20.3,11.6,12.8
Dougherty,820,16.8,15.1,9.4
Douglas,785.7,17.6,19.9,13.5
Early,1066.7,19.8,14.3,14.7
Echols,612.6,19.3,25.8,15
Effingham,1003.9,18.1,21.2,14.9
Elbert,1751.2,20.6,17.2,15.6
Emanuel,1192.6,19.9,14.2,15.1
Evans,1231.2,20.5,13.9,17.5
Fannin,1131.4,20.9,19.8,16
Fayette,635.4,16.2,17.5,10.3
Floyd,1262.9,20.7,14,18.1
Forsyth,487.9,16.4,20,12.2
Franklin,1424.1,21.6,15.9,16.7
Fulton,468.5,14.5,16.3,8.5
Gilmer,1188.5,21,22.3,18.9
Glascock,1021.2,19.7,17.6,16.6
Glynn,928.6,16.9,15.4,11.4
Gordon,1042.7,19.2,17.2,16.3
Grady,835.1,17.5,16.4,11.8
Greene,1227.5,19.5,13.3,12.7
Gwinnett,499.2,16.4,19.3,10.9
Habersham,1021.8,20,18.8,13.1
Hall,865.5,18.4,19,13.7
Hancock,866.3,18.2,14.2,9
Haralson,1504.3,20.7,18.6,21
Harris,639.5,18.8,18.9,13.6
Hart,1036.6,21.5,15.9,16.7
Heard,997.8,19.3,19.3,17.2
Henry,721.1,17,17.8,12.7
Houston,832.6,19,14.1,14.1
Irwin,1295.7,21.4,21.1,18.2
Jackson,1204.3,18.8,18.3,15.5
Jasper,1108.6,20.7,15.1,14.3
Jeff,NA,1754.1,19.5,20.6
Jefferson,937.3,19.4,13.7,11.1
Jenkins,1217.7,19,15.1,15.3
Johnson,930.6,21.3,18,13.8
Jones,877.6,19.7,14.4,16.6
Lamar,1000.1,19.1,17.9,15.7
Lanier,846,20.3,19.7,16.2
Laurens,1150.6,20.5,18.7,13.3
Lee,816.3,17.1,15.6,10.2
Liberty,599.7,17.9,19,12.3
Lincoln,1216.8,18.3,16.1,16.6
Long,499.5,18.4,20.3,12.5
Lowndes,837.5,18.7,22.7,12.6
Lumpkin,924.8,18.7,20,15.4
Macon,437.4,21.7,13.1,16.9
Madison,2772.8,20.5,17.3,15
Marion,377.5,19.6,16.6,17.4
McDuffie,830.2,18.4,15.6,13.4
McIntosh,1627.5,18.7,19.4,17.4
Meriwether,1093.4,20,15.4,16.4
Miller,1061.8,16.6,11.2,13.2
Mitchell,999.6,17.9,14.3,10.5
Monroe,1002,18.9,15.7,17.6
Montgomery,1001.3,19.9,17.3,18.4
Morgan,956.8,18.5,17,12.4
