district_id,district_name,county,district_office_flag
1-1,Northwest Georgia Health District,Bartow,0
1-1,Northwest Georgia Health District,Catoosa,0
1-1,Northwest Georgia Health District,Chattooga,0
1-1,Northwest Georgia Health District,Dade,0
1-1,Northwest Georgia Health District,Floyd,1
1-1,Northwest Georgia Health District,Gordon,0
1-1,Northwest Georgia Health District,Haralson,0
1-1,Northwest Georgia Health District,Paulding,0
1-1,Northwest Georgia Health District,Polk,0
1-1,Northwest Georgia Health District,Walker,0
1-2,North Georgia Health District,Cherokee,1
1-2,North Georgia Health District,Fannin,0
1-2,North Georgia Health District,Gilmer,0
1-2,North Georgia Health District,Murray,0
1-2,North Georgia Health District,Pickens,0
1-2,North Georgia Health District,Whitfield,0
2,North Health District,Banks,0
2,North Health District,Dawson,0
2,North Health District,Forsyth,0
2,North Health District,Franklin,0
2,North Health District,Habersham,0
2,North Health District,Hall,1
2,North Health District,Hart,0
2,North Health District,Lumpkin,0
2,North Health District,Rabun,0
2,North Health District,Stephens,0
2,North Health District,Towns,0
2,North Health District,Union,0
2,North Health District,White,0
3-1,Cobb/Douglas Health District,Cobb,1
3-1,Cobb/Douglas Health District,Douglas,0
3-2,Fulton County Board of Health,Fulton,1
3-3,Clayton County Health District,Clayton,1
3-4,East Metro Health District,Gwinnett,1
3-4,East Metro Health District,Newton,0
3-4,East Metro Health District,Rockdale,0
3-5,DeKalb Health District,DeKalb,1
4,District 4 Health District,Butts,0
4,District 4 Health District,Carroll,0
4,District 4 Health District,Coweta,0
4,District 4 Health District,Fayette,0
4,District 4 Health District,Heard,0
4,District 4 Health District,Henry,0
4,District 4 Health District,Lamar,0
4,District 4 Health District,Meriwether,0
4,District 4 Health District,Pike,0
4,District 4 Health District,Spalding,0
4,District 4 Health District,Troup,1
4,District 4 Health District,Upson,0
5-1,South Central Health District,Bleckley,0
5-1,South Central Health District,Dodge,0
5-1,South Central Health District,Johnson,0
5-1,South Central Health District,Laurens,1
5-1,South Central Health District,Montgomery,0
5-1,South Central Health District,Pulaski,0
5-1,South Central Health District,Telfair,0
