county,district_id,district_name,district_office_flag,age,year,population,deaths,death_rate
Appling,9-2,Southeast Health District,0,0-9,1999,2509,0,0
Atkinson,9-2,Southeast Health District,0,0-9,1999,1304,0,0
Bacon,9-2,Southeast Health District,0,0-9,1999,1452,0,0
Baker,8-2,Southwest Health District,0,0-9,1999,614,0,0
Banks,2,North Health District,0,0-9,1999,2054,0,0
Ben Hill,8-1,South Health District,0,0-9,1999,2586,0,0
Berrien,8-1,South Health District,0,0-9,1999,2368,0,0
Bleckley,5-1,South Central Health District,0,0-9,1999,1605,0,0
Brantley,9-2,Southeast Health District,0,0-9,1999,2168,0,0
Brooks,8-1,South Health District,0,0-9,1999,2356,0,0
Bryan,9-1,Coastal Health District,0,0-9,1999,3738,0,0
Burke,6,East Central Health District,0,0-9,1999,3773,0,0
Butts,4,District 4 Health District,0,0-9,1999,2480,0,0
Calhoun,8-2,Southwest Health District,0,0-9,1999,759,0,0
Candler,9-2,Southeast Health District,0,0-9,1999,1366,0,0
Charlton,9-2,Southeast Health District,0,0-9,1999,1449,0,0
Chattahoochee,7,West Central Health District,0,0-9,1999,2526,0,0
Chattooga,1-1,Northwest Georgia Health District,0,0-9,1999,3224,0,0
Clay,7,West Central Health District,0,0-9,1999,470,0,0
Clinch,9-2,Southeast Health District,0,0-9,1999,1029,0,0
Cook,8-1,South Health District,0,0-9,1999,2391,0,0
Crawford,5-2,North Central Health District,0,0-9,1999,1820,0,0
Crisp,7,West Central Health District,0,0-9,1999,3544,0,0
Dade,1-1,Northwest Georgia Health District,0,0-9,1999,1908,0,0
Dawson,2,North Health District,0,0-9,1999,2195,0,0
Decatur,8-2,Southwest Health District,0,0-9,1999,4379,0,0
Dodge,5-1,South Central Health District,0,0-9,1999,2523,0,0
Dooly,7,West Central Health District,0,0-9,1999,1570,0,0
Early,8-2,Southwest Health District,0,0-9,1999,1840,0,0
Echols,8-1,South Health District,0,0-9,1999,513,0,0
Elbert,10,Northeast Health District,0,0-9,1999,2767,0,0
Emanuel,6,East Central Health District,0,0-9,1999,3063,0,0
Evans,9-2,Southeast Health District,0,0-9,1999,1479,0,0
Fannin,1-2,North Georgia Health District,0,0-9,1999,2124,0,0
Franklin,2,North Health District,0,0-9,1999,2650,0,0
Gilmer,1-2,North Georgia Health District,0,0-9,1999,3068,0,0
Glascock,6,East Central Health District,0,0-9,1999,337,0,0
Grady,8-2,Southwest Health District,0,0-9,1999,3398,0,0
Greene,10,Northeast Health District,0,0-9,1999,1915,0,0
Hancock,5-2,North Central Health District,0,0-9,1999,1277,0,0
Haralson,1-1,Northwest Georgia Health District,0,0-9,1999,3614,0,0
Harris,7,West Central Health District,0,0-9,1999,3145,0,0
Hart,2,North Health District,0,0-9,1999,2922,0,0
Heard,4,District 4 Health District,0,0-9,1999,1761,0,0
Irwin,8-1,South Health District,0,0-9,1999,1368,0,0
Jasper,5-2,North Central Health District,0,0-9,1999,1663,0,0
Jeff Davis,9-2,Southeast Health District,0,0-9,1999,1864,0,0
Jefferson,6,East Central Health District,0,0-9,1999,2638,0,0
Jenkins,6,East Central Health District,0,0-9,1999,1287,0,0
Johnson,5-1,South Central Health District,0,0-9,1999,1187,0,0
Jones,5-2,North Central Health District,0,0-9,1999,3355,0,0
Lamar,4,District 4 Health District,0,0-9,1999,2097,0,0
Lanier,8-1,South Health District,0,0-9,1999,1108,0,0
Lee,8-2,Southwest Health District,0,0-9,1999,3834,0,0
Lincoln,6,East Central Health District,0,0-9,1999,1041,0,0
Long,9-1,Coastal Health District,0,0-9,1999,2065,0,0
Lumpkin,2,North Health District,0,0-9,1999,2680,0,0
McDuffie,6,East Central Health District,0,0-9,1999,3142,0,0
McIntosh,9-1,Coastal Health District,0,0-9,1999,1597,0,0
